,"country,food_category,consumption,co2_emmission"
131,"Bermuda,Nuts inc. Peanut Butter,5.72,10.12"
132,"Denmark,Pork,24.87,88.03"
133,"Denmark,Poultry,26.75,28.73"
134,"Denmark,Beef,28.459999999999997,878.22"
135,"Denmark,Lamb & Goat,0.92,32.220000000000006"
136,"Denmark,Fish,16.49,26.330000000000002"
137,"Denmark,Eggs,15.350000000000001,14.1"
138,"Denmark,Milk - inc. cheese,277.3,394.98999999999995"
139,"Denmark,Wheat and Wheat Products,98,18.69"
140,"Denmark,Rice,4.96,6.35"
141,"Denmark,Soybeans,0.03,0.01"
142,"Denmark,Nuts inc. Peanut Butter,5.94,10.51"
143,"Finland,Pork,36.14,127.92"
144,"Finland,Poultry,19.87,21.34"
145,"Finland,Beef,19.22,593.09"
146,"Finland,Lamb & Goat,0.53,18.56"
147,"Finland,Fish,33.8,53.97"
148,"Finland,Eggs,9.55,8.77"
149,"Finland,Milk - inc. cheese,430.76,613.57"
150,"Finland,Wheat and Wheat Products,81.99000000000001,15.639999999999999"
151,"Finland,Rice,4.42,5.659999999999999"
152,"Finland,Soybeans,0.08,0.04"
153,"Finland,Nuts inc. Peanut Butter,3.4299999999999997,6.07"
154,"Ireland,Pork,32.4,114.67999999999999"
155,"Ireland,Poultry,26.259999999999998,28.21"
156,"Ireland,Beef,22.35,689.6700000000001"
157,"Ireland,Lamb & Goat,4.1,143.58"
158,"Ireland,Fish,17.39,27.77"
159,"Ireland,Eggs,8.96,8.229999999999999"
160,"Ireland,Milk - inc. cheese,291.86,415.72999999999996"
161,"Ireland,Wheat and Wheat Products,107.98,20.59"
162,"Ireland,Rice,3,3.84"
163,"Ireland,Soybeans,0.25,0.11"
164,"Ireland,Nuts inc. Peanut Butter,4.1,7.26"
165,"Greece,Pork,28.310000000000002,100.2"
166,"Greece,Poultry,15.739999999999998,16.91"
167,"Greece,Beef,16.1,496.81"
168,"Greece,Lamb & Goat,12.47,436.7"
169,"Greece,Fish,14.42,23.02"
170,"Greece,Eggs,10.129999999999999,9.31"
171,"Greece,Milk - inc. cheese,255.26,363.59"
172,"Greece,Wheat and Wheat Products,124.04,23.650000000000002"
173,"Greece,Rice,6.64,8.5"
174,"Greece,Soybeans,0.02,0.01"
175,"Greece,Nuts inc. Peanut Butter,10.5,18.59"
176,"France,Pork,33.05,116.98"
177,"France,Poultry,22.93,24.630000000000003"
178,"France,Beef,23.810000000000002,734.73"
179,"France,Lamb & Goat,3.2800000000000002,114.86999999999999"
180,"France,Fish,22.91,36.58"
181,"France,Eggs,13.129999999999999,12.06"
182,"France,Milk - inc. cheese,241.31,343.71999999999997"
183,"France,Wheat and Wheat Products,108.43,20.68"
184,"France,Rice,4.88,6.24"
185,"France,Soybeans,0.05,0.02"
186,"France,Nuts inc. Peanut Butter,5.39,9.54"
187,"Canada,Pork,22.810000000000002,80.74000000000001"
188,"Canada,Poultry,36.68,39.4"
189,"Canada,Beef,30.25,933.4499999999999"
190,"Canada,Lamb & Goat,0.97,33.97"
191,"Canada,Fish,14.56,23.25"
192,"Canada,Eggs,12.950000000000001,11.9"
193,"Canada,Milk - inc. cheese,187.76999999999998,267.46"
194,"Canada,Wheat and Wheat Products,84.96000000000001,16.2"
195,"Canada,Rice,12.65,16.19"
196,"Canada,Soybeans,0.9400000000000001,0.42000000000000004"
197,"Canada,Nuts inc. Peanut Butter,8.01,14.18"
198,"Norway,Pork,23.51,83.21000000000001"
199,"Norway,Poultry,21.01,22.57"
200,"Norway,Beef,19.830000000000002,611.91"
201,"Norway,Lamb & Goat,5.34,187.01"
202,"Norway,Fish,38.18,60.96"
203,"Norway,Eggs,11.41,10.48"
204,"Norway,Milk - inc. cheese,261.34000000000003,372.25"
205,"Norway,Wheat and Wheat Products,97.11999999999999,18.52"
206,"Norway,Rice,4.359999999999999,5.58"
207,"Norway,Soybeans,0.11,0.05"
208,"Norway,Nuts inc. Peanut Butter,5.28,9.350000000000001"
209,"Hong Kong SAR. China,Pork,67.11,237.54"
210,"Hong Kong SAR. China,Poultry,54.86,58.93"
211,"Hong Kong SAR. China,Beef,25.82,796.75"
212,"Hong Kong SAR. China,Lamb & Goat,2.22,77.74000000000001"
213,"Hong Kong SAR. China,Fish,42.44,67.76"
214,"Hong Kong SAR. China,Eggs,14.5,13.32"
215,"Hong Kong SAR. China,Milk - inc. cheese,105.85,150.76999999999998"
216,"Hong Kong SAR. China,Wheat and Wheat Products,53.14,10.129999999999999"
217,"Hong Kong SAR. China,Rice,43.48,55.64"
218,"Hong Kong SAR. China,Soybeans,2.79,1.26"
219,"Hong Kong SAR. China,Nuts inc. Peanut Butter,13.81,24.439999999999998"
220,"French Polynesia,Pork,14.75,52.21"
221,"French Polynesia,Poultry,49.55,53.230000000000004"
222,"French Polynesia,Beef,30.9,953.51"
223,"French Polynesia,Lamb & Goat,2.8299999999999996,99.11"
224,"French Polynesia,Fish,38.949999999999996,62.190000000000005"
225,"French Polynesia,Eggs,8.75,8.04"
226,"French Polynesia,Milk - inc. cheese,93.56,133.26999999999998"
227,"French Polynesia,Wheat and Wheat Products,68.66999999999999,13.1"
228,"French Polynesia,Rice,35.59,45.54"
229,"French Polynesia,Soybeans,0.77,0.35"
230,"French Polynesia,Nuts inc. Peanut Butter,2.34,4.14"
231,"Israel,Pork,1.99,7.04"
232,"Israel,Poultry,62.5,67.14"
233,"Israel,Beef,28.779999999999998,888.09"
234,"Israel,Lamb & Goat,1.87,65.49000000000001"
235,"Israel,Fish,22.18,35.41"
236,"Israel,Eggs,11.350000000000001,10.43"
237,"Israel,Milk - inc. cheese,193.6,275.76"
238,"Israel,Wheat and Wheat Products,110.86,21.14"
239,"Israel,Rice,16.810000000000002,21.51"
240,"Israel,Soybeans,0.1,0.05"
241,"Israel,Nuts inc. Peanut Butter,7.71,13.65"
242,"Switzerland,Pork,31.49,111.46000000000001"
243,"Switzerland,Poultry,16.38,17.6"
244,"Switzerland,Beef,21.259999999999998,656.04"
245,"Switzerland,Lamb & Goat,1.42,49.730000000000004"
246,"Switzerland,Fish,13.48,21.52"
247,"Switzerland,Eggs,10.53,9.67"
248,"Switzerland,Milk - inc. cheese,318.69,453.94"
249,"Switzerland,Wheat and Wheat Products,89.51,17.07"
250,"Switzerland,Rice,2.4299999999999997,3.11"
251,"Switzerland,Soybeans,0.44,0.2"
252,"Switzerland,Nuts inc. Peanut Butter,9.27,16.41"
253,"Netherlands,Pork,36.36,128.7"
254,"Netherlands,Poultry,23.9,25.67"
255,"Netherlands,Beef,17.67,545.26"
256,"Netherlands,Lamb & Goat,0.9400000000000001,32.92"
257,"Netherlands,Fish,18.64,29.759999999999998"
258,"Netherlands,Eggs,14.03,12.89"
259,"Netherlands,Milk - inc. cheese,341.46999999999997,486.39"
260,"Netherlands,Wheat and Wheat Products,70.16999999999999,13.38"
261,"Netherlands,Rice,2.9299999999999997,3.75"
262,"Netherlands,Soybeans,0.12000000000000001,0.05"
263,"Netherlands,Nuts inc. Peanut Butter,7.94,14.05"
264,"Kuwait,Pork,0,0"
265,"Kuwait,Poultry,53.61,57.59"
266,"Kuwait,Beef,13.03,402.08"
267,"Kuwait,Lamb & Goat,15.61,546.66"
268,"Kuwait,Fish,11.99,19.14"
269,"Kuwait,Eggs,12.6,11.57"
270,"Kuwait,Milk - inc. cheese,157.66,224.57"
271,"Kuwait,Wheat and Wheat Products,96.76,18.45"
272,"Kuwait,Rice,43.83,56.09"
273,"Kuwait,Soybeans,0.06,0.03"
274,"Kuwait,Nuts inc. Peanut Butter,5.23,9.26"
275,"United Kingdom,Pork,25.79,91.28"
276,"United Kingdom,Poultry,31.55,33.89"
277,"United Kingdom,Beef,18.12,559.15"
278,"United Kingdom,Lamb & Goat,4.49,157.23999999999998"
279,"United Kingdom,Fish,15.49,24.73"
280,"United Kingdom,Eggs,11.08,10.18"
281,"United Kingdom,Milk - inc. cheese,232.2,330.75"
282,"United Kingdom,Wheat and Wheat Products,98.63,18.810000000000002"
283,"United Kingdom,Rice,6.39,8.18"
284,"United Kingdom,Soybeans,0.05,0.02"
285,"United Kingdom,Nuts inc. Peanut Butter,4.18,7.4"
286,"Austria,Pork,52.56,186.04"
287,"Austria,Poultry,18.610000000000003,19.99"
288,"Austria,Beef,17.14,528.9"
289,"Austria,Lamb & Goat,1.1600000000000001,40.620000000000005"
290,"Austria,Fish,12.16,19.419999999999998"
291,"Austria,Eggs,14.68,13.49"
292,"Austria,Milk - inc. cheese,258.09,367.62"
293,"Austria,Wheat and Wheat Products,81.1,15.47"
294,"Austria,Rice,3.7,4.73"
295,"Austria,Soybeans,2.06,0.93"
296,"Austria,Nuts inc. Peanut Butter,7.88,13.950000000000001"
297,"Oman,Pork,0.01,0.04"
298,"Oman,Poultry,31.51,33.849999999999994"
299,"Oman,Beef,15.1,465.95"
300,"Oman,Lamb & Goat,12.870000000000001,450.71"
301,"Oman,Fish,21.56,34.42"
302,"Oman,Eggs,7.8,7.17"
303,"Oman,Milk - inc. cheese,152.28,216.91"
304,"Oman,Wheat and Wheat Products,64.1,12.219999999999999"
305,"Oman,Rice,56.55,72.36999999999999"
306,"Oman,Soybeans,0.21000000000000002,0.09"
307,"Oman,Nuts inc. Peanut Butter,1.6800000000000002,2.9699999999999998"
308,"Italy,Pork,40.28,142.57"
309,"Italy,Poultry,18.610000000000003,19.99"
310,"Italy,Beef,18.6,573.9599999999999"
311,"Italy,Lamb & Goat,0.92,32.220000000000006"
312,"Italy,Fish,15.6,24.91"
313,"Italy,Eggs,13.34,12.25"
314,"Italy,Milk - inc. cheese,246.88000000000002,351.66"
315,"Italy,Wheat and Wheat Products,146.37,27.91"
316,"Italy,Rice,5.74,7.35"
317,"Italy,Soybeans,0.01,0"
318,"Italy,Nuts inc. Peanut Butter,7.63,13.51"
319,"Bahamas,Pork,32.74,115.88"
320,"Bahamas,Poultry,45.74,49.13"
321,"Bahamas,Beef,19.919999999999998,614.69"
322,"Bahamas,Lamb & Goat,5.22,182.8"
323,"Bahamas,Fish,18.8,30.02"
324,"Bahamas,Eggs,6.2,5.7"
325,"Bahamas,Milk - inc. cheese,104.76,149.22"
326,"Bahamas,Wheat and Wheat Products,39.98,7.619999999999999"
327,"Bahamas,Rice,23.97,30.67"
328,"Bahamas,Soybeans,0.09,0.04"
329,"Bahamas,Nuts inc. Peanut Butter,4.03,7.13"
330,"Portugal,Pork,37.91,134.18"
331,"Portugal,Poultry,30.14,32.379999999999995"
332,"Portugal,Beef,16.45,507.61"
333,"Portugal,Lamb & Goat,2.38,83.35"
334,"Portugal,Fish,45.39,72.47"
335,"Portugal,Eggs,9.05,8.31"
336,"Portugal,Milk - inc. cheese,205.04,292.06"
337,"Portugal,Wheat and Wheat Products,94.3,17.979999999999997"
338,"Portugal,Rice,14.860000000000001,19.02"
339,"Portugal,Soybeans,0.01,0"
340,"Portugal,Nuts inc. Peanut Butter,3.9099999999999997,6.92"
341,"Malta,Pork,34.24,121.19"
342,"Malta,Poultry,26.4,28.36"
343,"Malta,Beef,19.22,593.09"
344,"Malta,Lamb & Goat,1.1900000000000002,41.67"
345,"Malta,Fish,24.58,39.25"
346,"Malta,Eggs,11.639999999999999,10.69"
347,"Malta,Milk - inc. cheese,190.06,270.71999999999997"
348,"Malta,Wheat and Wheat Products,139.58,26.62"
349,"Malta,Rice,4.96,6.35"
350,"Malta,Soybeans,0.05,0.02"
351,"Malta,Nuts inc. Peanut Butter,5.619999999999999,9.950000000000001"
352,"Armenia,Pork,9.67,34.230000000000004"
353,"Armenia,Poultry,13.350000000000001,14.34"
354,"Armenia,Beef,19.66,606.6700000000001"
355,"Armenia,Lamb & Goat,3.02,105.76"
356,"Armenia,Fish,4.359999999999999,6.96"
357,"Armenia,Eggs,11.69,10.739999999999998"
358,"Armenia,Milk - inc. cheese,209.03,297.74"
359,"Armenia,Wheat and Wheat Products,130.6,24.91"
360,"Armenia,Rice,3.18,4.07"
361,"Armenia,Soybeans,0,0"
362,"Armenia,Nuts inc. Peanut Butter,2.55,4.51"
363,"Slovenia,Pork,28.19,99.78"
364,"Slovenia,Poultry,23.459999999999997,25.2"
365,"Slovenia,Beef,18.43,568.71"
366,"Slovenia,Lamb & Goat,0.7899999999999999,27.67"
367,"Slovenia,Fish,7.76,12.39"
368,"Slovenia,Eggs,9.360000000000001,8.6"
369,"Slovenia,Milk - inc. cheese,235.01,334.75"
370,"Slovenia,Wheat and Wheat Products,103.43,19.72"
371,"Slovenia,Rice,3.9499999999999997,5.05"
372,"Slovenia,Soybeans,0.75,0.33999999999999997"
373,"Slovenia,Nuts inc. Peanut Butter,5.28,9.350000000000001"
374,"Chile,Pork,24.68,87.35"
375,"Chile,Poultry,36.52,39.230000000000004"
376,"Chile,Beef,23.86,736.2700000000001"
377,"Chile,Lamb & Goat,0.42000000000000004,14.709999999999999"
378,"Chile,Fish,7.6499999999999995,12.209999999999999"
379,"Chile,Eggs,9.97,9.16"
380,"Chile,Milk - inc. cheese,116.11,165.39000000000001"
381,"Chile,Wheat and Wheat Products,104.74000000000001,19.97"
382,"Chile,Rice,8.850000000000001,11.33"
383,"Chile,Soybeans,0.04,0.02"
384,"Chile,Nuts inc. Peanut Butter,2.22,3.9299999999999997"
385,"Venezuela,Pork,7.23,25.59"
386,"Venezuela,Poultry,39.28,42.190000000000005"
387,"Venezuela,Beef,25.89,798.91"
388,"Venezuela,Lamb & Goat,0.32,11.209999999999999"
389,"Venezuela,Fish,8.34,13.32"
390,"Venezuela,Eggs,5.63,5.17"
391,"Venezuela,Milk - inc. cheese,117.79,167.78"
392,"Venezuela,Wheat and Wheat Products,49.17,9.38"
393,"Venezuela,Rice,23.39,29.93"
394,"Venezuela,Soybeans,0,0"
395,"Venezuela,Nuts inc. Peanut Butter,0.35,0.62"
396,"Belgium,Pork,38.65,136.8"
397,"Belgium,Poultry,12.2,13.11"
398,"Belgium,Beef,15.629999999999999,482.31"
399,"Belgium,Lamb & Goat,1.32,46.230000000000004"
400,"Belgium,Fish,18.97,30.29"
401,"Belgium,Eggs,12.59,11.57"
402,"Belgium,Milk - inc. cheese,236.19,336.42999999999995"
403,"Belgium,Wheat and Wheat Products,111.91000000000001,21.34"
404,"Belgium,Rice,8.61,11.02"
405,"Belgium,Soybeans,0.07,0.03"
406,"Belgium,Nuts inc. Peanut Butter,7.319999999999999,12.96"
407,"Germany,Pork,51.809999999999995,183.38000000000002"
408,"Germany,Poultry,17.75,19.07"
409,"Germany,Beef,13.16,406.09"
410,"Germany,Lamb & Goat,0.73,25.56"
411,"Germany,Fish,11.16,17.82"
412,"Germany,Eggs,12.2,11.209999999999999"
413,"Germany,Milk - inc. cheese,258.7,368.48999999999995"
414,"Germany,Wheat and Wheat Products,83.41000000000001,15.91"
415,"Germany,Rice,3.34,4.2700000000000005"
416,"Germany,Soybeans,0.88,0.4"
417,"Germany,Nuts inc. Peanut Butter,7.96,14.09"
418,"Russia,Pork,25.66,90.82"
419,"Russia,Poultry,27.5,29.54"
420,"Russia,Beef,16.979999999999997,523.97"
421,"Russia,Lamb & Goat,1.4,49.03"
422,"Russia,Fish,20.82,33.24"
423,"Russia,Eggs,15.43,14.17"
424,"Russia,Milk - inc. cheese,163.57,232.99"
425,"Russia,Wheat and Wheat Products,130.99,24.979999999999997"
426,"Russia,Rice,4.71,6.03"
427,"Russia,Soybeans,0.05,0.02"
428,"Russia,Nuts inc. Peanut Butter,1.62,2.8699999999999997"
429,"Croatia,Pork,42.790000000000006,151.46"
430,"Croatia,Poultry,8.52,9.15"
431,"Croatia,Beef,12.41,382.95"
432,"Croatia,Lamb & Goat,1.71,59.879999999999995"
433,"Croatia,Fish,15.83,25.279999999999998"
434,"Croatia,Eggs,8.48,7.79"
435,"Croatia,Milk - inc. cheese,231.02,329.06"
436,"Croatia,Wheat and Wheat Products,106.59,20.330000000000002"
437,"Croatia,Rice,2.64,3.38"
438,"Croatia,Soybeans,0,0"
439,"Croatia,Nuts inc. Peanut Butter,3.88,6.87"
440,"Belarus,Pork,40.37,142.89000000000001"
441,"Belarus,Poultry,31.29,33.61"
442,"Belarus,Beef,17.110000000000003,527.98"
443,"Belarus,Lamb & Goat,0.11,3.8499999999999996"
444,"Belarus,Fish,15.75,25.150000000000002"
445,"Belarus,Eggs,15.860000000000001,14.57"
446,"Belarus,Milk - inc. cheese,133.73,190.49"
447,"Belarus,Wheat and Wheat Products,60.48,11.53"
448,"Belarus,Rice,3.17,4.06"
449,"Belarus,Soybeans,0.3,0.14"
450,"Belarus,Nuts inc. Peanut Butter,3.36,5.95"
451,"Spain,Pork,48.92,173.15"
452,"Spain,Poultry,28.630000000000003,30.75"
453,"Spain,Beef,12.15,374.91999999999996"
454,"Spain,Lamb & Goat,2.16,75.64"
455,"Spain,Fish,28.830000000000002,46.03"
456,"Spain,Eggs,13.32,12.239999999999998"
457,"Spain,Milk - inc. cheese,164.29,234.01"
458,"Spain,Wheat and Wheat Products,93.88,17.9"
459,"Spain,Rice,8.32,10.65"
460,"Spain,Soybeans,0.02,0.01"
461,"Spain,Nuts inc. Peanut Butter,7.44,13.17"
462,"Paraguay,Pork,26.24,92.88"
463,"Paraguay,Poultry,6.39,6.859999999999999"
464,"Paraguay,Beef,19.810000000000002,611.2900000000001"
465,"Paraguay,Lamb & Goat,0.56,19.610000000000003"
466,"Paraguay,Fish,3.6,5.75"
467,"Paraguay,Eggs,18.830000000000002,17.3"
468,"Paraguay,Milk - inc. cheese,75.72,107.86"
469,"Paraguay,Wheat and Wheat Products,31.51,6.01"
470,"Paraguay,Rice,4.91,6.28"
471,"Paraguay,Soybeans,0,0"
472,"Paraguay,Nuts inc. Peanut Butter,1.6,2.8299999999999996"
473,"New Caledonia,Pork,19.9,70.44000000000001"
474,"New Caledonia,Poultry,44.36,47.65"
475,"New Caledonia,Beef,16.07,495.89"
476,"New Caledonia,Lamb & Goat,1.95,68.29"
477,"New Caledonia,Fish,19.38,30.939999999999998"
478,"New Caledonia,Eggs,8.850000000000001,8.129999999999999"
479,"New Caledonia,Milk - inc. cheese,108,153.84"
480,"New Caledonia,Wheat and Wheat Products,81.75,15.59"
481,"New Caledonia,Rice,17.47,22.36"
482,"New Caledonia,Soybeans,0.55,0.25"
483,"New Caledonia,Nuts inc. Peanut Butter,2.96,5.24"
484,"South Africa,Pork,4.159999999999999,14.719999999999999"
485,"South Africa,Poultry,37.57,40.36"
486,"South Africa,Beef,18.03,556.37"
487,"South Africa,Lamb & Goat,4.28,149.89000000000001"
488,"South Africa,Fish,5.56,8.88"
489,"South Africa,Eggs,7.21,6.619999999999999"
490,"South Africa,Milk - inc. cheese,55.75,79.41000000000001"
491,"South Africa,Wheat and Wheat Products,60.13,11.47"
492,"South Africa,Rice,17.41,22.279999999999998"
493,"South Africa,Soybeans,1.27,0.5700000000000001"
494,"South Africa,Nuts inc. Peanut Butter,1.04,1.84"
495,"Barbados,Pork,8.3,29.38"
496,"Barbados,Poultry,42.620000000000005,45.78"
497,"Barbados,Beef,13.129999999999999,405.16"
498,"Barbados,Lamb & Goat,4.08,142.88000000000002"
499,"Barbados,Fish,37.41,59.730000000000004"
500,"Barbados,Eggs,9.61,8.83"
501,"Barbados,Milk - inc. cheese,110.48,157.37"
502,"Barbados,Wheat and Wheat Products,65.71000000000001,12.53"
503,"Barbados,Rice,15.66,20.04"
504,"Barbados,Soybeans,0.1,0.05"
505,"Barbados,Nuts inc. Peanut Butter,4.159999999999999,7.359999999999999"
506,"Lithuania,Pork,45.67,161.65"
507,"Lithuania,Poultry,26.84,28.830000000000002"
508,"Lithuania,Beef,4.49,138.55"
509,"Lithuania,Lamb & Goat,0.24000000000000002,8.4"
510,"Lithuania,Fish,42.39,67.67999999999999"
511,"Lithuania,Eggs,13.11,12.04"
512,"Lithuania,Milk - inc. cheese,295.46,420.85"
513,"Lithuania,Wheat and Wheat Products,121.59,23.19"
514,"Lithuania,Rice,3.07,3.9299999999999997"
515,"Lithuania,Soybeans,0.02,0.01"
516,"Lithuania,Nuts inc. Peanut Butter,2.13,3.77"
517,"Turkey,Pork,0.01,0.04"
518,"Turkey,Poultry,18.779999999999998,20.17"
519,"Turkey,Beef,11.639999999999999,359.19"
520,"Turkey,Lamb & Goat,4.68,163.89000000000001"
521,"Turkey,Fish,5.58,8.91"
522,"Turkey,Eggs,8.2,7.53"
523,"Turkey,Milk - inc. cheese,193.94,276.25"
524,"Turkey,Wheat and Wheat Products,169.96,32.41"
525,"Turkey,Rice,10.739999999999998,13.739999999999998"
526,"Turkey,Soybeans,1.71,0.77"
527,"Turkey,Nuts inc. Peanut Butter,7.970000000000001,14.11"
528,"Estonia,Pork,29.68,105.05"
529,"Estonia,Poultry,21.110000000000003,22.68"
530,"Estonia,Beef,7.1899999999999995,221.87"
531,"Estonia,Lamb & Goat,0.44,15.41"
532,"Estonia,Fish,12.78,20.41"
