,country,food_category,consumption,co2_emmission
101,Kazakhstan,Beef,23.380,721.460
102,Kazakhstan,Lamb & Goat,9.560,334.790
103,Kazakhstan,Fish,5.210,8.320
104,Kazakhstan,Eggs,8.290,7.620
105,Kazakhstan,Milk - inc. cheese,288.120,410.400
106,Kazakhstan,Wheat and Wheat Products,92.310,17.600
107,Kazakhstan,Rice,7.320,9.370
108,Kazakhstan,Soybeans,0.030,0.010
109,Kazakhstan,Nuts inc. Peanut Butter,5.140,9.100
110,Sweden,Pork,37.000,130.960
111,Sweden,Poultry,16.640,17.870
112,Sweden,Beef,24.580,758.490
113,Sweden,Lamb & Goat,1.410,49.380
114,Sweden,Fish,23.860,38.100
115,Sweden,Eggs,13.370,12.280
116,Sweden,Milk - inc. cheese,341.230,486.050
117,Sweden,Wheat and Wheat Products,79.590,15.180
118,Sweden,Rice,5.960,7.630
119,Sweden,Soybeans,0.130,0.060
120,Sweden,Nuts inc. Peanut Butter,6.230,11.030
121,Bermuda,Pork,28.240,99.960
122,Bermuda,Poultry,32.620,35.040
123,Bermuda,Beef,33.150,1022.940
124,Bermuda,Lamb & Goat,2.710,94.900
125,Bermuda,Fish,33.220,53.040
126,Bermuda,Eggs,14.920,13.710
127,Bermuda,Milk - inc. cheese,95.560,136.120
128,Bermuda,Wheat and Wheat Products,54.880,10.470
129,Bermuda,Rice,5.380,6.880
130,Bermuda,Soybeans,0.220,0.100
131,Bermuda,Nuts inc. Peanut Butter,5.720,10.120
132,Denmark,Pork,24.870,88.030
133,Denmark,Poultry,26.750,28.730
134,Denmark,Beef,28.460,878.220
135,Denmark,Lamb & Goat,0.920,32.220
136,Denmark,Fish,16.490,26.330
137,Denmark,Eggs,15.350,14.100
138,Denmark,Milk - inc. cheese,277.300,394.990
139,Denmark,Wheat and Wheat Products,98.000,18.690
140,Denmark,Rice,4.960,6.350
141,Denmark,Soybeans,0.030,0.010
142,Denmark,Nuts inc. Peanut Butter,5.940,10.510
143,Finland,Pork,36.140,127.920
144,Finland,Poultry,19.870,21.340
145,Finland,Beef,19.220,593.090
146,Finland,Lamb & Goat,0.530,18.560
147,Finland,Fish,33.800,53.970
148,Finland,Eggs,9.550,8.770
149,Finland,Milk - inc. cheese,430.760,613.570
150,Finland,Wheat and Wheat Products,81.990,15.640
151,Finland,Rice,4.420,5.660
152,Finland,Soybeans,0.080,0.040
153,Finland,Nuts inc. Peanut Butter,3.430,6.070
154,Ireland,Pork,32.400,114.680
155,Ireland,Poultry,26.260,28.210
156,Ireland,Beef,22.350,689.670
157,Ireland,Lamb & Goat,4.100,143.580
158,Ireland,Fish,17.390,27.770
159,Ireland,Eggs,8.960,8.230
160,Ireland,Milk - inc. cheese,291.860,415.730
161,Ireland,Wheat and Wheat Products,107.980,20.590
162,Ireland,Rice,3.000,3.840
163,Ireland,Soybeans,0.250,0.110
164,Ireland,Nuts inc. Peanut Butter,4.100,7.260
165,Greece,Pork,28.310,100.200
166,Greece,Poultry,15.740,16.910
167,Greece,Beef,16.100,496.810
168,Greece,Lamb & Goat,12.470,436.700
169,Greece,Fish,14.420,23.020
170,Greece,Eggs,10.130,9.310
171,Greece,Milk - inc. cheese,255.260,363.590
172,Greece,Wheat and Wheat Products,124.040,23.650
173,Greece,Rice,6.640,8.500
174,Greece,Soybeans,0.020,0.010
175,Greece,Nuts inc. Peanut Butter,10.500,18.590
176,France,Pork,33.050,116.980
177,France,Poultry,22.930,24.630
178,France,Beef,23.810,734.730
179,France,Lamb & Goat,3.280,114.870
180,France,Fish,22.910,36.580
181,France,Eggs,13.130,12.060
182,France,Milk - inc. cheese,241.310,343.720
183,France,Wheat and Wheat Products,108.430,20.680
184,France,Rice,4.880,6.240
185,France,Soybeans,0.050,0.020
186,France,Nuts inc. Peanut Butter,5.390,9.540
187,Canada,Pork,22.810,80.740
188,Canada,Poultry,36.680,39.400
189,Canada,Beef,30.250,933.450
190,Canada,Lamb & Goat,0.970,33.970
191,Canada,Fish,14.560,23.250
192,Canada,Eggs,12.950,11.900
193,Canada,Milk - inc. cheese,187.770,267.460
194,Canada,Wheat and Wheat Products,84.960,16.200
195,Canada,Rice,12.650,16.190
196,Canada,Soybeans,0.940,0.420
197,Canada,Nuts inc. Peanut Butter,8.010,14.180
198,Norway,Pork,23.510,83.210
199,Norway,Poultry,21.010,22.570
200,Norway,Beef,19.830,611.910
201,Norway,Lamb & Goat,5.340,187.010
202,Norway,Fish,38.180,60.960
203,Norway,Eggs,11.410,10.480
204,Norway,Milk - inc. cheese,261.340,372.250
205,Norway,Wheat and Wheat Products,97.120,18.520
206,Norway,Rice,4.360,5.580
207,Norway,Soybeans,0.110,0.050
208,Norway,Nuts inc. Peanut Butter,5.280,9.350
209,Hong Kong SAR. China,Pork,67.110,237.540
210,Hong Kong SAR. China,Poultry,54.860,58.930
211,Hong Kong SAR. China,Beef,25.820,796.750
212,Hong Kong SAR. China,Lamb & Goat,2.220,77.740
213,Hong Kong SAR. China,Fish,42.440,67.760
214,Hong Kong SAR. China,Eggs,14.500,13.320
215,Hong Kong SAR. China,Milk - inc. cheese,105.850,150.770
216,Hong Kong SAR. China,Wheat and Wheat Products,53.140,10.130
217,Hong Kong SAR. China,Rice,43.480,55.640
218,Hong Kong SAR. China,Soybeans,2.790,1.260
219,Hong Kong SAR. China,Nuts inc. Peanut Butter,13.810,24.440
220,French Polynesia,Pork,14.750,52.210
221,French Polynesia,Poultry,49.550,53.230
222,French Polynesia,Beef,30.900,953.510
223,French Polynesia,Lamb & Goat,2.830,99.110
224,French Polynesia,Fish,38.950,62.190
225,French Polynesia,Eggs,8.750,8.040
226,French Polynesia,Milk - inc. cheese,93.560,133.270
227,French Polynesia,Wheat and Wheat Products,68.670,13.100
228,French Polynesia,Rice,35.590,45.540
229,French Polynesia,Soybeans,0.770,0.350
230,French Polynesia,Nuts inc. Peanut Butter,2.340,4.140
231,Israel,Pork,1.990,7.040
232,Israel,Poultry,62.500,67.140
233,Israel,Beef,28.780,888.090
234,Israel,Lamb & Goat,1.870,65.490
235,Israel,Fish,22.180,35.410
236,Israel,Eggs,11.350,10.430
237,Israel,Milk - inc. cheese,193.600,275.760
238,Israel,Wheat and Wheat Products,110.860,21.140
239,Israel,Rice,16.810,21.510
240,Israel,Soybeans,0.100,0.050
241,Israel,Nuts inc. Peanut Butter,7.710,13.650
242,Switzerland,Pork,31.490,111.460
243,Switzerland,Poultry,16.380,17.600
244,Switzerland,Beef,21.260,656.040
245,Switzerland,Lamb & Goat,1.420,49.730
246,Switzerland,Fish,13.480,21.520
247,Switzerland,Eggs,10.530,9.670
248,Switzerland,Milk - inc. cheese,318.690,453.940
249,Switzerland,Wheat and Wheat Products,89.510,17.070
250,Switzerland,Rice,2.430,3.110
251,Switzerland,Soybeans,0.440,0.200
252,Switzerland,Nuts inc. Peanut Butter,9.270,16.410
253,Netherlands,Pork,36.360,128.700
254,Netherlands,Poultry,23.900,25.670
255,Netherlands,Beef,17.670,545.260
256,Netherlands,Lamb & Goat,0.940,32.920
257,Netherlands,Fish,18.640,29.760
258,Netherlands,Eggs,14.030,12.890
259,Netherlands,Milk - inc. cheese,341.470,486.390
260,Netherlands,Wheat and Wheat Products,70.170,13.380
261,Netherlands,Rice,2.930,3.750
262,Netherlands,Soybeans,0.120,0.050
263,Netherlands,Nuts inc. Peanut Butter,7.940,14.050
264,Kuwait,Pork,0.000,0.000
265,Kuwait,Poultry,53.610,57.590
266,Kuwait,Beef,13.030,402.080
267,Kuwait,Lamb & Goat,15.610,546.660
268,Kuwait,Fish,11.990,19.140
269,Kuwait,Eggs,12.600,11.570
270,Kuwait,Milk - inc. cheese,157.660,224.570
271,Kuwait,Wheat and Wheat Products,96.760,18.450
272,Kuwait,Rice,43.830,56.090
273,Kuwait,Soybeans,0.060,0.030
274,Kuwait,Nuts inc. Peanut Butter,5.230,9.260
275,United Kingdom,Pork,25.790,91.280
276,United Kingdom,Poultry,31.550,33.890
277,United Kingdom,Beef,18.120,559.150
278,United Kingdom,Lamb & Goat,4.490,157.240
279,United Kingdom,Fish,15.490,24.730
280,United Kingdom,Eggs,11.080,10.180
281,United Kingdom,Milk - inc. cheese,232.200,330.750
282,United Kingdom,Wheat and Wheat Products,98.630,18.810
283,United Kingdom,Rice,6.390,8.180
284,United Kingdom,Soybeans,0.050,0.020
285,United Kingdom,Nuts inc. Peanut Butter,4.180,7.400
286,Austria,Pork,52.560,186.040
287,Austria,Poultry,18.610,19.990
288,Austria,Beef,17.140,528.900
289,Austria,Lamb & Goat,1.160,40.620
290,Austria,Fish,12.160,19.420
291,Austria,Eggs,14.680,13.490
292,Austria,Milk - inc. cheese,258.090,367.620
293,Austria,Wheat and Wheat Products,81.100,15.470
294,Austria,Rice,3.700,4.730
295,Austria,Soybeans,2.060,0.930
296,Austria,Nuts inc. Peanut Butter,7.880,13.950
297,Oman,Pork,0.010,0.040
298,Oman,Poultry,31.510,33.850
299,Oman,Beef,15.100,465.950
300,Oman,Lamb & Goat,12.870,450.710
301,Oman,Fish,21.560,34.420
302,Oman,Eggs,7.800,7.170
303,Oman,Milk - inc. cheese,152.280,216.910
304,Oman,Wheat and Wheat Products,64.100,12.220
305,Oman,Rice,56.550,72.370
306,Oman,Soybeans,0.210,0.090
307,Oman,Nuts inc. Peanut Butter,1.680,2.970
308,Italy,Pork,40.280,142.570
309,Italy,Poultry,18.610,19.990
310,Italy,Beef,18.600,573.960
311,Italy,Lamb & Goat,0.920,32.220
312,Italy,Fish,15.600,24.910
313,Italy,Eggs,13.340,12.250
314,Italy,Milk - inc. cheese,246.880,351.660
315,Italy,Wheat and Wheat Products,146.370,27.910
316,Italy,Rice,5.740,7.350
317,Italy,Soybeans,0.010,0.000
318,Italy,Nuts inc. Peanut Butter,7.630,13.510
319,Bahamas,Pork,32.740,115.880
320,Bahamas,Poultry,45.740,49.130
321,Bahamas,Beef,19.920,614.690
322,Bahamas,Lamb & Goat,5.220,182.800
323,Bahamas,Fish,18.800,30.020
324,Bahamas,Eggs,6.200,5.700
325,Bahamas,Milk - inc. cheese,104.760,149.220
326,Bahamas,Wheat and Wheat Products,39.980,7.620
327,Bahamas,Rice,23.970,30.670
328,Bahamas,Soybeans,0.090,0.040
329,Bahamas,Nuts inc. Peanut Butter,4.030,7.130
330,Portugal,Pork,37.910,134.180
331,Portugal,Poultry,30.140,32.380
332,Portugal,Beef,16.450,507.610
333,Portugal,Lamb & Goat,2.380,83.350
334,Portugal,Fish,45.390,72.470
335,Portugal,Eggs,9.050,8.310
336,Portugal,Milk - inc. cheese,205.040,292.060
337,Portugal,Wheat and Wheat Products,94.300,17.980
338,Portugal,Rice,14.860,19.020
339,Portugal,Soybeans,0.010,0.000
340,Portugal,Nuts inc. Peanut Butter,3.910,6.920
341,Malta,Pork,34.240,121.190
342,Malta,Poultry,26.400,28.360
343,Malta,Beef,19.220,593.090
344,Malta,Lamb & Goat,1.190,41.670
345,Malta,Fish,24.580,39.250
346,Malta,Eggs,11.640,10.690
347,Malta,Milk - inc. cheese,190.060,270.720
348,Malta,Wheat and Wheat Products,139.580,26.620
349,Malta,Rice,4.960,6.350
350,Malta,Soybeans,0.050,0.020
351,Malta,Nuts inc. Peanut Butter,5.620,9.950
352,Armenia,Pork,9.670,34.230
353,Armenia,Poultry,13.350,14.340
354,Armenia,Beef,19.660,606.670
355,Armenia,Lamb & Goat,3.020,105.760
356,Armenia,Fish,4.360,6.960
357,Armenia,Eggs,11.690,10.740
358,Armenia,Milk - inc. cheese,209.030,297.740
359,Armenia,Wheat and Wheat Products,130.600,24.910
360,Armenia,Rice,3.180,4.070
361,Armenia,Soybeans,0.000,0.000
362,Armenia,Nuts inc. Peanut Butter,2.550,4.510
363,Slovenia,Pork,28.190,99.780
364,Slovenia,Poultry,23.460,25.200
365,Slovenia,Beef,18.430,568.710
366,Slovenia,Lamb & Goat,0.790,27.670
367,Slovenia,Fish,7.760,12.390
368,Slovenia,Eggs,9.360,8.600
369,Slovenia,Milk - inc. cheese,235.010,334.750
370,Slovenia,Wheat and Wheat Products,103.430,19.720
371,Slovenia,Rice,3.950,5.050
372,Slovenia,Soybeans,0.750,0.340
373,Slovenia,Nuts inc. Peanut Butter,5.280,9.350
374,Chile,Pork,24.680,87.350
375,Chile,Poultry,36.520,39.230
376,Chile,Beef,23.860,736.270
377,Chile,Lamb & Goat,0.420,14.710
378,Chile,Fish,7.650,12.210
379,Chile,Eggs,9.970,9.160
380,Chile,Milk - inc. cheese,116.110,165.390
381,Chile,Wheat and Wheat Products,104.740,19.970
382,Chile,Rice,8.850,11.330
383,Chile,Soybeans,0.040,0.020
384,Chile,Nuts inc. Peanut Butter,2.220,3.930
385,Venezuela,Pork,7.230,25.590
386,Venezuela,Poultry,39.280,42.190
387,Venezuela,Beef,25.890,798.910
388,Venezuela,Lamb & Goat,0.320,11.210
389,Venezuela,Fish,8.340,13.320
390,Venezuela,Eggs,5.630,5.170
391,Venezuela,Milk - inc. cheese,117.790,167.780
392,Venezuela,Wheat and Wheat Products,49.170,9.380
393,Venezuela,Rice,23.390,29.930
394,Venezuela,Soybeans,0.000,0.000
395,Venezuela,Nuts inc. Peanut Butter,0.350,0.620
396,Belgium,Pork,38.650,136.800
397,Belgium,Poultry,12.200,13.110
398,Belgium,Beef,15.630,482.310
399,Belgium,Lamb & Goat,1.320,46.230
400,Belgium,Fish,18.970,30.290
401,Belgium,Eggs,12.590,11.570
402,Belgium,Milk - inc. cheese,236.190,336.430
403,Belgium,Wheat and Wheat Products,111.910,21.340
404,Belgium,Rice,8.610,11.020
405,Belgium,Soybeans,0.070,0.030
406,Belgium,Nuts inc. Peanut Butter,7.320,12.960
407,Germany,Pork,51.810,183.380
408,Germany,Poultry,17.750,19.070
409,Germany,Beef,13.160,406.090
410,Germany,Lamb & Goat,0.730,25.560
411,Germany,Fish,11.160,17.820
412,Germany,Eggs,12.200,11.210
413,Germany,Milk - inc. cheese,258.700,368.490
414,Germany,Wheat and Wheat Products,83.410,15.910
415,Germany,Rice,3.340,4.270
416,Germany,Soybeans,0.880,0.400
417,Germany,Nuts inc. Peanut Butter,7.960,14.090
418,Russia,Pork,25.660,90.820
419,Russia,Poultry,27.500,29.540
420,Russia,Beef,16.980,523.970
421,Russia,Lamb & Goat,1.400,49.030
422,Russia,Fish,20.820,33.240
423,Russia,Eggs,15.430,14.170
424,Russia,Milk - inc. cheese,163.570,232.990
425,Russia,Wheat and Wheat Products,130.990,24.980
426,Russia,Rice,4.710,6.030
427,Russia,Soybeans,0.050,0.020
428,Russia,Nuts inc. Peanut Butter,1.620,2.870
429,Croatia,Pork,42.790,151.460
430,Croatia,Poultry,8.520,9.150
431,Croatia,Beef,12.410,382.950
432,Croatia,Lamb & Goat,1.710,59.880
433,Croatia,Fish,15.830,25.280
434,Croatia,Eggs,8.480,7.790
435,Croatia,Milk - inc. cheese,231.020,329.060
436,Croatia,Wheat and Wheat Products,106.590,20.330
437,Croatia,Rice,2.640,3.380
438,Croatia,Soybeans,0.000,0.000
439,Croatia,Nuts inc. Peanut Butter,3.880,6.870
440,Belarus,Pork,40.370,142.890
441,Belarus,Poultry,31.290,33.610
442,Belarus,Beef,17.110,527.980
443,Belarus,Lamb & Goat,0.110,3.850
444,Belarus,Fish,15.750,25.150
445,Belarus,Eggs,15.860,14.570
446,Belarus,Milk - inc. cheese,133.730,190.490
447,Belarus,Wheat and Wheat Products,60.480,11.530
448,Belarus,Rice,3.170,4.060
449,Belarus,Soybeans,0.300,0.140
450,Belarus,Nuts inc. Peanut Butter,3.360,5.950
451,Spain,Pork,48.920,173.150
452,Spain,Poultry,28.630,30.750
453,Spain,Beef,12.150,374.920
454,Spain,Lamb & Goat,2.160,75.640
455,Spain,Fish,28.830,46.030
456,Spain,Eggs,13.320,12.240
457,Spain,Milk - inc. cheese,164.290,234.010
458,Spain,Wheat and Wheat Products,93.880,17.900
459,Spain,Rice,8.320,10.650
460,Spain,Soybeans,0.020,0.010
461,Spain,Nuts inc. Peanut Butter,7.440,13.170
462,Paraguay,Pork,26.240,92.880
463,Paraguay,Poultry,6.390,6.860
464,Paraguay,Beef,19.810,611.290
465,Paraguay,Lamb & Goat,0.560,19.610
466,Paraguay,Fish,3.600,5.750
467,Paraguay,Eggs,18.830,17.300
468,Paraguay,Milk - inc. cheese,75.720,107.860
469,Paraguay,Wheat and Wheat Products,31.510,6.010
470,Paraguay,Rice,4.910,6.280
471,Paraguay,Soybeans,0.000,0.000
472,Paraguay,Nuts inc. Peanut Butter,1.600,2.830
473,New Caledonia,Pork,19.900,70.440
474,New Caledonia,Poultry,44.360,47.650
475,New Caledonia,Beef,16.070,495.890
476,New Caledonia,Lamb & Goat,1.950,68.290
477,New Caledonia,Fish,19.380,30.940
478,New Caledonia,Eggs,8.850,8.130
479,New Caledonia,Milk - inc. cheese,108.000,153.840
480,New Caledonia,Wheat and Wheat Products,81.750,15.590
481,New Caledonia,Rice,17.470,22.360
482,New Caledonia,Soybeans,0.550,0.250
483,New Caledonia,Nuts inc. Peanut Butter,2.960,5.240
484,South Africa,Pork,4.160,14.720
485,South Africa,Poultry,37.570,40.360
486,South Africa,Beef,18.030,556.370
487,South Africa,Lamb & Goat,4.280,149.890
488,South Africa,Fish,5.560,8.880
489,South Africa,Eggs,7.210,6.620
490,South Africa,Milk - inc. cheese,55.750,79.410
491,South Africa,Wheat and Wheat Products,60.130,11.470
492,South Africa,Rice,17.410,22.280
493,South Africa,Soybeans,1.270,0.570
494,South Africa,Nuts inc. Peanut Butter,1.040,1.840
495,Barbados,Pork,8.300,29.380
496,Barbados,Poultry,42.620,45.780
497,Barbados,Beef,13.130,405.160
498,Barbados,Lamb & Goat,4.080,142.880
499,Barbados,Fish,37.410,59.730
500,Barbados,Eggs,9.610,8.830
501,Barbados,Milk - inc. cheese,110.480,157.370
502,Barbados,Wheat and Wheat Products,65.710,12.530
503,Barbados,Rice,15.660,20.040
504,Barbados,Soybeans,0.100,0.050
505,Barbados,Nuts inc. Peanut Butter,4.160,7.360
506,Lithuania,Pork,45.670,161.650
507,Lithuania,Poultry,26.840,28.830
508,Lithuania,Beef,4.490,138.550
509,Lithuania,Lamb & Goat,0.240,8.400
510,Lithuania,Fish,42.390,67.680
511,Lithuania,Eggs,13.110,12.040
512,Lithuania,Milk - inc. cheese,295.460,420.850
513,Lithuania,Wheat and Wheat Products,121.590,23.190
514,Lithuania,Rice,3.070,3.930
515,Lithuania,Soybeans,0.020,0.010
516,Lithuania,Nuts inc. Peanut Butter,2.130,3.770
517,Turkey,Pork,0.010,0.040
518,Turkey,Poultry,18.780,20.170
519,Turkey,Beef,11.640,359.190
520,Turkey,Lamb & Goat,4.680,163.890
521,Turkey,Fish,5.580,8.910
522,Turkey,Eggs,8.200,7.530
523,Turkey,Milk - inc. cheese,193.940,276.250
524,Turkey,Wheat and Wheat Products,169.960,32.410
525,Turkey,Rice,10.740,13.740
526,Turkey,Soybeans,1.710,0.770
527,Turkey,Nuts inc. Peanut Butter,7.970,14.110
528,Estonia,Pork,29.680,105.050
529,Estonia,Poultry,21.110,22.680
530,Estonia,Beef,7.190,221.870
531,Estonia,Lamb & Goat,0.440,15.410
532,Estonia,Fish,12.780,20.410
533,Estonia,Eggs,12.660,11.630
534,Estonia,Milk - inc. cheese,284.850,405.740
535,Estonia,Wheat and Wheat Products,89.360,17.040
536,Estonia,Rice,2.560,3.280
537,Estonia,Soybeans,0.040,0.020
538,Estonia,Nuts inc. Peanut Butter,4.290,7.590
539,Mexico,Pork,15.230,53.910
540,Mexico,Poultry,30.120,32.350
541,Mexico,Beef,15.330,473.050
542,Mexico,Lamb & Goat,0.890,31.170
543,Mexico,Fish,7.560,12.070
544,Mexico,Eggs,18.340,16.850
545,Mexico,Milk - inc. cheese,111.870,159.350
546,Mexico,Wheat and Wheat Products,35.210,6.710
547,Mexico,Rice,5.640,7.220
548,Mexico,Soybeans,0.020,0.010
549,Mexico,Nuts inc. Peanut Butter,2.510,4.440
550,Costa Rica,Pork,10.280,36.390
551,Costa Rica,Poultry,24.470,26.290
552,Costa Rica,Beef,15.230,469.970
553,Costa Rica,Lamb & Goat,0.020,0.700
554,Costa Rica,Fish,11.320,18.070
555,Costa Rica,Eggs,10.550,9.690
556,Costa Rica,Milk - inc. cheese,183.280,261.060
557,Costa Rica,Wheat and Wheat Products,39.310,7.500
558,Costa Rica,Rice,45.690,58.470
559,Costa Rica,Soybeans,1.540,0.690
560,Costa Rica,Nuts inc. Peanut Butter,1.380,2.440
561,Bolivia,Pork,8.890,31.470
562,Bolivia,Poultry,34.310,36.860
563,Bolivia,Beef,19.780,610.370
564,Bolivia,Lamb & Goat,1.720,60.230
565,Bolivia,Fish,2.180,3.480
566,Bolivia,Eggs,5.180,4.760
567,Bolivia,Milk - inc. cheese,46.040,65.580
568,Bolivia,Wheat and Wheat Products,49.990,9.530
569,Bolivia,Rice,26.990,34.540
570,Bolivia,Soybeans,0.010,0.000
571,Bolivia,Nuts inc. Peanut Butter,9.160,16.210
572,Ecuador,Pork,14.440,51.110
573,Ecuador,Poultry,21.850,23.470
574,Ecuador,Beef,16.610,512.550
575,Ecuador,Lamb & Goat,0.440,15.410
576,Ecuador,Fish,5.170,8.250
577,Ecuador,Eggs,8.010,7.360
578,Ecuador,Milk - inc. cheese,139.600,198.850
579,Ecuador,Wheat and Wheat Products,39.190,7.470
580,Ecuador,Rice,45.070,57.680
581,Ecuador,Soybeans,0.000,0.000
582,Ecuador,Nuts inc. Peanut Butter,0.980,1.730
583,Panama,Pork,13.480,47.710
584,Panama,Poultry,30.810,33.100
585,Panama,Beef,20.400,629.500
586,Panama,Lamb & Goat,0.010,0.350
587,Panama,Fish,11.050,17.640
588,Panama,Eggs,4.530,4.160
589,Panama,Milk - inc. cheese,70.290,100.120
590,Panama,Wheat and Wheat Products,38.960,7.430
591,Panama,Rice,66.420,85.000
592,Panama,Soybeans,3.530,1.590
593,Panama,Nuts inc. Peanut Butter,1.050,1.860
594,Czech Republic,Pork,41.170,145.720
595,Czech Republic,Poultry,19.090,20.510
596,Czech Republic,Beef,8.150,251.490
597,Czech Republic,Lamb & Goat,0.340,11.910
598,Czech Republic,Fish,8.250,13.170
599,Czech Republic,Eggs,11.660,10.710
600,Czech Republic,Milk - inc. cheese,195.200,278.040
601,Czech Republic,Wheat and Wheat Products,92.670,17.670
602,Czech Republic,Rice,4.790,6.130
603,Czech Republic,Soybeans,0.820,0.370
604,Czech Republic,Nuts inc. Peanut Butter,2.470,4.370
605,Romania,Pork,25.310,89.580
606,Romania,Poultry,15.380,16.520
607,Romania,Beef,4.780,147.500
608,Romania,Lamb & Goat,3.410,119.420
609,Romania,Fish,6.070,9.690
610,Romania,Eggs,12.940,11.890
611,Romania,Milk - inc. cheese,238.330,339.480
612,Romania,Wheat and Wheat Products,134.870,25.720
613,Romania,Rice,2.590,3.310
614,Romania,Soybeans,0.010,0.000
615,Romania,Nuts inc. Peanut Butter,1.800,3.190
616,Colombia,Pork,6.510,23.040
617,Colombia,Poultry,27.570,29.620
618,Colombia,Beef,16.360,504.840
619,Colombia,Lamb & Goat,0.210,7.350
620,Colombia,Fish,6.010,9.600
621,Colombia,Eggs,10.780,9.900
622,Colombia,Milk - inc. cheese,108.470,154.500
